 Name                        Version      License
 ghp-import                  2.1.0        Apache Software License
 importlib_metadata          8.7.0        Apache Software License
 importlib_resources         6.5.2        Apache Software License
 requests                    2.32.4       Apache Software License
 tzdata                      2025.2       Apache Software License
 watchdog                    6.0.0        Apache Software License
 packaging                   25.0         Apache Software License; BSD License
 python-dateutil             2.9.0.post0  Apache Software License; BSD License
 verspec                     0.1.0        Apache Software License; BSD License
 uv                          0.8.4        Apache Software License; MIT License
 coverage                    7.10.2       Apache-2.0
 Jinja2                      3.1.6        BSD License
 MarkupSafe                  3.0.2        BSD License
 Pygments                    2.19.2       BSD License
 babel                       2.17.0       BSD License
 colorama                    0.4.6        BSD License
 contourpy                   1.3.2        BSD License
 cycler                      0.12.1       BSD License
 idna                        3.10         BSD License
 kiwisolver                  1.4.8        BSD License
 mike                        2.1.3        BSD License
 mkdocs                      1.6.1        BSD License
 mpmath                      1.3.0        BSD License
 networkx                    3.4.2        BSD License
 nodeenv                     1.9.1        BSD License
 numpy                       2.2.6        BSD License
 pandas                      2.3.1        BSD License
 pip-tools                   7.5.0        BSD License
 pycparser                   2.22         BSD License
 scipy                       1.15.3       BSD License
 sympy                       1.14.0       BSD License
 rpy2-robjects               3.6.1        GNU General Public License v2 or later (GPLv2+)
 rpy2-rinterface             3.6.2        GPL-2.0-or-later
 fonttools                   4.59.0       MIT
 identify                    2.6.12       MIT
 pytest-cov                  6.2.1        MIT
 PyYAML                      6.0.2        MIT License
 backrefs                    5.9          MIT License
 cffi                        1.17.1       MIT License
 cfgv                        3.4.0        MIT License
 charset-normalizer          3.4.2        MIT License
 exceptiongroup              1.3.0        MIT License
 iniconfig                   2.1.0        MIT License
 mergedeep                   1.3.4        MIT License
 mkdocs-get-deps             0.2.0        MIT License
 mkdocs-material             9.6.16       MIT License
 mkdocs-material-extensions  1.3.1        MIT License
 paginate                    0.5.7        MIT License
 platformdirs                4.3.8        MIT License
 pluggy                      1.6.0        MIT License
 pre_commit                  4.2.0        MIT License
 pymdown-extensions          10.16.1      MIT License
 pyparsing                   3.2.3        MIT License
 pyproject_hooks             1.2.0        MIT License
 pytest                      8.4.1        MIT License
 pytz                        2025.2       MIT License
 ruff                        0.12.7       MIT License
 six                         1.17.0       MIT License
 tzlocal                     5.3.1        MIT License
 virtualenv                  20.33.0      MIT License
 distlib                     0.4.0        Python Software Foundation License
 matplotlib                  3.10.5       Python Software Foundation License
 filelock                    3.18.0       The Unlicense (Unlicense)
 Markdown                    3.8.2        UNKNOWN
 build                       1.3.0        UNKNOWN
 click                       8.2.1        UNKNOWN
 griffe                      1.9.0        UNKNOWN
 mkdocs-autorefs             1.4.2        UNKNOWN
 mkdocstrings                0.30.0       UNKNOWN
 mkdocstrings-python         1.16.12      UNKNOWN
 pillow                      11.3.0       UNKNOWN
 pyyaml_env_tag              1.1          UNKNOWN
 typing_extensions           4.14.1       UNKNOWN
 urllib3                     2.5.0        UNKNOWN
 zipp                        3.23.0       UNKNOWN
